sequence,price,open_24h,volume_24h,high_24h,volume_30d,best_bid,best_ask,trade_id,last_size,hour_of_day,side_buy,side_sell,spread,last_size_5_mean,last_size_5_std,last_size_5_var,last_size_10_mean,last_size_10_std,last_size_10_var,last_size_15_mean,last_size_15_std,last_size_15_var,hour_15,hour_16,hour_17,hour_18,hour_19
1294996257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8023173,0.9228573881147378,19,0,1,1.0,0.9228573881147378,0.6521201240624278,0.4252606562071962,0.9228573881147378,0.6521201240624278,0.4252606562071962,0.9228573881147378,0.6521201240624278,0.4252606562071962,0,0,0,0,1
1294996259,0.0,0.0,0.0005302186764311045,0.0,0.0005302186764311045,0.0,1.0,8023174,0.0006202643692271339,19,0,1,1.0,0.4617388262419825,0.6521201240624278,0.4252606562071962,0.4617388262419825,0.6521201240624278,0.4252606562071962,0.4617388262419825,0.6521201240624278,0.4252606562071962,0,0,0,0,1
1294996261,0.0,0.0,0.0006362624117173254,0.0,0.0006362624117173254,0.0,1.0,8023175,0.0,19,0,1,1.0,0.3078258841613217,0.5326329968405756,0.2836979093233727,0.3078258841613217,0.5326329968405756,0.2836979093233727,0.3078258841613217,0.5326329968405756,0.2836979093233727,0,0,0,0,1
1294996263,0.0,0.0,0.0008824353717500344,0.0,0.0008824353717500344,0.0,1.0,8023176,0.0002049087648339639,19,0,1,1.0,0.23092064031219972,0.4612912373705864,0.21278960567488672,0.23092064031219972,0.4612912373705864,0.21278960567488672,0.23092064031219972,0.4612912373705864,0.21278960567488672,0,0,0,0,1
1294996265,0.0,0.0,0.6848500112319016,0.0,0.6848500112246256,0.0,1.0,8023177,0.9999999999999999,19,0,1,1.0,0.3847365122497598,0.5271516068037015,0.2778888165557244,0.3847365122497598,0.5271516068037015,0.2778888165557244,0.3847365122497598,0.5271516068037015,0.2778888165557244,0,0,0,0,1
1294996267,0.0,0.0,0.6883848024153849,0.0,0.6883848024153849,0.0,1.0,8023178,0.005013803651252665,19,0,1,1.0,0.20116779535706275,0.4465655482396838,0.19942078887460937,0.32144939415000856,0.4963291338908191,0.24634260914881065,0.32144939415000856,0.4963291338908191,0.24634260914881065,0,0,0,0,1
1294996269,0.0,0.0,0.8368807487640879,0.0,0.8368807487640879,0.0,1.0,8023179,0.21698822882217148,19,0,1,1.0,0.24444138824765158,0.4325364465047548,0.18708777755496062,0.30652637053174614,0.45480147763764733,0.20684438406138742,0.30652637053174614,0.45480147763764733,0.20684438406138742,0,0,0,0,1
1294996271,0.0,0.0,0.852661066543078,0.0,0.852661066543078,0.0,1.0,8023180,0.022920245262869333,19,0,1,1.0,0.24902543730022547,0.42940833340542706,0.1843915167980264,0.27107560487313653,0.4328385849535428,0.1873492406245853,0.27107560487313653,0.4328385849535428,0.1873492406245853,0,0,0,0,1
1294996273,0.0,0.0,0.9659656418298255,0.0,0.9659656418298255,0.0,1.0,8023181,0.16552843847522034,19,0,1,1.0,0.28209014324230275,0.4114485954190015,0.16928994667226918,0.25934814194003475,0.4064091362508201,0.16516838602813763,0.25934814194003475,0.4064091362508201,0.16516838602813763,0,0,0,0,1
1294996289,0.0,0.0,0.9704990115133114,0.0,0.9704990115133114,0.0,0.0,8023182,0.006474009353808211,19,0,1,0.0,0.08338494511306441,0.10038762212165488,0.010077674675240173,0.2340607286814121,0.3914216087919086,0.15321087582924597,0.2340607286814121,0.3914216087919086,0.15321087582924597,0,0,0,0,1
1294996308,0.0,0.0,0.9750323812113493,0.0,0.9750323812040733,0.0,0.0,8023183,0.006474009353808211,19,0,1,0.0,0.08367698625357553,0.10010435615666165,0.010020882121539763,0.14242239080531913,0.3113192197985992,0.09691965661600853,0.2133710269243572,0.37762215188343506,0.14259848959307608,0,0,0,0,1
1294996326,1.0000000000000142,0.0,0.976602838432882,0.0,0.976602838432882,0.0,0.0,8023184,0.0021413888937603432,19,1,0,0.0,0.040707618267893285,0.0702279534842662,0.0049319654505882585,0.14257450325777243,0.31124259823374084,0.0968719549552898,0.1957685570884741,0.3651755110505607,0.13335315387103816,0,0,0,0,1
1294996328,1.0000000000000142,0.0,0.9939353082663729,0.0,0.9939353082590969,0.0,0.0,8023185,0.025189932887764454,19,1,0,0.0,0.04116155579287231,0.07009143925456754,0.004912809856776731,0.14509349654654888,0.3100601715272322,0.09613730996749666,0.1826471244576503,0.3528152873305802,0.12447862697415986,0,0,0,0,1
1294996345,1.0000000000000142,0.0,0.9984686779571348,0.0,0.9984686779644107,0.0,0.0,8023186,0.006474009353808211,19,1,0,0.0,0.009350669968589886,0.009050987685282685,8.192037807913881e-05,0.14572040660544633,0.3097408448840649,0.09593939098949435,0.1700633305216616,0.34222839472153027,0.11712027415367553,0,0,0,0,1
1294996347,1.0000000000000142,0.0,1.0,0.0,1.0,0.0,1.0,8023187,0.0020841621215995066,19,1,0,1.0,0.008472700522148147,0.00959627949480768,9.208858014246634e-05,0.045928822817606275,0.07796627760744716,0.006078740443961518,0.15886471929499077,0.3326194126725733,0.11063567368664762,0,0,0,0,1
