order_id,time,price,size,remaining_size,remaining_size_change,type_change,type_done,type_match,type_open,type_received,side_buy,side_sell,reason_canceled,reason_filled,reason_missing,hour_of_day,price_5_mean,price_5_std,price_5_var,price_10_mean,price_10_std,price_10_var,price_15_mean,price_15_std,price_15_var,size_5_mean,size_5_std,size_5_var,size_10_mean,size_10_std,size_10_var,size_15_mean,size_15_std,size_15_var,signed_size,order_flow_imbalance,cancel_to_received_ratio,hour_15,hour_16,hour_17,hour_18,hour_19
cfab8f3a-db8d-420a-82c3-33ad9e775ac9,2022-05-11 19:07:33.482728+00:00,0.9142857142857146,0.00868770064218544,0.0028334591641295467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19,0.9142857142857146,0.02020305089104414,0.00040816326530611954,0.9142857142857146,0.02020305089104414,0.00040816326530611954,0.9142857142857146,0.02020305089104414,0.00040816326530611954,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
3d139557-5e8b-4299-a4f1-bd50a49360f7,2022-05-11 19:07:33.498851+00:00,0.9428571428571431,0.00868770064218544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19,0.9285714285714288,0.02020305089104414,0.00040816326530611954,0.9285714285714288,0.02020305089104414,0.00040816326530611954,0.9285714285714288,0.02020305089104414,0.00040816326530611954,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.00868770064218544,0.00868770064218544,0.0,0,0,0,0,1
,2022-05-11 19:07:33.498851+00:00,0.9142857142857146,0.00868770064218544,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19,0.9238095238095241,0.01649572197684639,0.000272108843537413,0.9238095238095241,0.01649572197684639,0.000272108843537413,0.9238095238095241,0.01649572197684639,0.000272108843537413,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.0,0.00868770064218544,0.0,0,0,0,0,1
3d139557-5e8b-4299-a4f1-bd50a49360f7,2022-05-11 19:07:33.498851+00:00,0.9428571428571431,0.00868770064218544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19,0.9285714285714288,0.01649572197684639,0.000272108843537413,0.9285714285714288,0.01649572197684639,0.000272108843537413,0.9285714285714288,0.01649572197684639,0.000272108843537413,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.00868770064218544,0.0,0.0,0.00868770064218544,0.01737540128437088,0.0,0,0,0,0,1
0e35b683-3b66-4524-a207-326c347bcd71,2022-05-11 19:07:33.541093+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19,0.7428571428571431,0.4155154163499712,0.1726530612244899,0.7428571428571431,0.4155154163499712,0.1726530612244899,0.7428571428571431,0.4155154163499712,0.1726530612244899,0.20695016051374834,0.44332833765913887,0.19654001497161547,0.20695016051374834,0.44332833765913887,0.19654001497161547,0.20695016051374834,0.44332833765913887,0.19654001497161547,1.0,1.017375401284371,0.0,0,0,0,0,1
0e35b683-3b66-4524-a207-326c347bcd71,2022-05-11 19:07:33.541093+00:00,0.0,0.00868770064218544,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.5600000000000002,0.511340774586872,0.2614693877551022,0.6190476190476192,0.4796824346327873,0.23009523809523827,0.6190476190476192,0.4796824346327873,0.23009523809523827,0.20695016051374834,0.44332833765913887,0.19654001497161547,0.1739064172018212,0.40470155152862897,0.16378334580967954,0.1739064172018212,0.40470155152862897,0.16378334580967954,0.00868770064218544,1.0260631019265565,0.0,0,0,0,0,1
06f3d367-bc40-488f-991d-9a4414f148b1,2022-05-11 19:07:33.660432+00:00,0.7999999999999998,0.44860364126840424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19,0.5314285714285715,0.48806155516763783,0.23820408163265316,0.6448979591836735,0.44319714839118696,0.1964237123420798,0.6448979591836735,0.44319714839118696,0.1964237123420798,0.2949333486389921,0.43776227986475985,0.19163581367239235,0.21314887778276165,0.38375241562131296,0.14726591649519294,0.21314887778276165,0.38375241562131296,0.14726591649519294,0.44860364126840424,1.4746667431949607,0.0,0,0,0,0,1
06f3d367-bc40-488f-991d-9a4414f148b1,2022-05-11 19:07:33.660432+00:00,0.7999999999999998,0.00868770064218544,0.4526023664823019,0.4526023664823019,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.5085714285714286,0.4679089393356405,0.21893877551020408,0.6642857142857144,0.4139689147637424,0.17137026239067063,0.6642857142857144,0.4139689147637424,0.17137026239067063,0.2949333486389921,0.43776227986475985,0.19163581367239235,0.18759123064018962,0.36256513214064706,0.13145347504416485,0.18759123064018962,0.36256513214064706,0.13145347504416485,0.00868770064218544,1.4833544438371462,0.0,0,0,0,0,1
150340a0-f231-4fe2-a209-c3f56c05a497,2022-05-11 19:07:33.779894+00:00,0.6857142857142859,0.00868770064218544,0.8596932663904864,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19,0.45714285714285713,0.41991252733425904,0.17632653061224485,0.6666666666666667,0.3872983346207418,0.15000000000000008,0.6666666666666667,0.3872983346207418,0.15000000000000008,0.2949333486389921,0.43776227986475985,0.19163581367239235,0.16771306064041136,0.3443516595669389,0.11857806544650501,0.16771306064041136,0.3443516595669389,0.11857806544650501,0.00868770064218544,1.4920421444793315,1.0,0,0,0,0,1
78b411cf-a87f-484b-91a7-c150882df67b,2022-05-11 19:07:33.802605+00:00,0.7142857142857149,0.8522999578659564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19,0.6000000000000001,0.3392669167725119,0.11510204081632652,0.6714285714285715,0.3654587400828552,0.13356009070294791,0.6714285714285715,0.3654587400828552,0.13356009070294791,0.2653933402121834,0.37938066253435615,0.14392968710500703,0.23617175036296584,0.3902161539795959,0.1522686468266277,0.23617175036296584,0.3902161539795959,0.1522686468266277,0.8522999578659564,2.344342102345288,0.0,0,0,0,0,1
78b411cf-a87f-484b-91a7-c150882df67b,2022-05-11 19:07:33.802605+00:00,0.7142857142857149,0.00868770064218544,0.853371078255532,0.853371078255532,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19,0.7428571428571431,0.05345224838248444,0.0028571428571428103,0.6514285714285716,0.35604275011478204,0.12676643990929712,0.6753246753246755,0.3469453235221866,0.12037105751391472,0.2653933402121834,0.37938066253435615,0.14392968710500703,0.2361717503629659,0.3902161539795959,0.1522686468266277,0.2154913822065313,0.3764920132511543,0.14174623604190734,0.00868770064218544,2.353029802987473,0.0,0,0,0,0,1
c747647c-57cb-4508-b052-94c13efe195d,2022-05-11 19:07:33.877706+00:00,0.9428571428571431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19,0.7714285714285717,0.10497813183356458,0.011020408163265267,0.6514285714285716,0.35604275011478204,0.12676643990929712,0.6976190476190478,0.33969501399867463,0.11539270253555975,0.17567261195850253,0.37826489185623696,0.14308432841101065,0.23530298029874733,0.3907881461607135,0.1527153751797272,0.19753376702265368,0.36432118508351785,0.13272992590065888,0.0,2.344342102345288,0.0,0,0,0,0,1
