sequence,price,open_24h,volume_24h,high_24h,volume_30d,best_bid,best_ask,trade_id,last_size,hour_of_day,side_buy,side_sell
1294558775,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7993563,0.0,19,1,0
1294558781,1.0,0.0,0.24764857676927932,0.0,0.24764857676927932,1.0,0.0,7993564,0.7820148784576698,19,1,0
1294558784,1.0,0.0,0.2544523086689878,0.0,0.2544523086544359,1.0,0.0,7993565,0.017770326906957252,19,1,0
1294558788,0.3333333333333357,0.0,0.258355250232853,0.0,0.258355250232853,1.0,0.0,7993566,0.008565590947191953,19,0,1
1294558790,0.3333333333333357,0.0,0.27178770903265104,0.0,0.27178770903265104,1.0,0.0,7993567,0.0388044844928751,19,0,1
1294558793,0.3333333333333357,0.0,0.28912310941086616,0.0,0.28912310939631425,1.0,0.0,7993568,0.05118922883487008,19,0,1
1294558797,0.3333333333333357,0.0,0.292605048394762,0.0,0.292605048394762,0.0,0.0,7993569,0.0072296730930427495,19,0,1
1294558799,0.0,0.0,0.3064585097890813,0.0,0.3064585097745294,0.0,0.0,7993570,0.04014040234702431,19,0,1
1294558802,0.0,0.0,0.6228031507489504,0.0,0.6228031507343985,0.0,0.0,7993571,1.0,19,0,1
1294558804,0.0,0.0,0.6987487142905593,0.0,0.6987487142760074,0.0,0.0,7993572,0.23716994970662197,19,0,1
1294558806,0.0,0.0,0.797808144998271,0.0,0.7978081449837191,0.0,0.0,7993573,0.3105144593461861,19,0,1
1294558808,0.0,0.0,0.9629071961680893,0.0,0.9629071961680893,0.0,0.0,7993574,0.5200702011735122,19,0,1
1294558810,0.0,0.0,0.9669801897689467,0.0,0.9669801897689467,0.0,0.0,7993575,0.00910519698239732,19,0,1
1294558812,0.0,0.0,0.9752351423230721,0.0,0.9752351423230721,0.0,0.0,7993576,0.022375314333612742,19,0,1
1294558814,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7993577,0.07476424979044427,19,0,1
